,year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url,country,round,lgbtqia+
7,,,,,"je vais me marier, marie",,,,,,,,,,,,,,,,,,,1
21,,,,,2long,,,,,,,,,,,,,,,,,,,1
24,,,,,"ne ver', ne boysia",,,,,,,,,,,,,,,,,,,1
28,,,,,à chaque pas,,,,,,,,,,,,,,,,,,,1
33,,,,,molitva  (молитва),,,,,,,,,,,,,,,,,,,1
34,,,,,song #1,,,,,,,,,,,,,,,,,,,1
46,,,,,milim  (מילים),,,,,,,,,,,,,,,,,,,1
95,,,,,samo mi se spava  (само ми се спава),,,,,,,,,,,,,,,,,,,1
98,,,,,one milkali (one blood),,,,,,,,,,,,,,,,,,,1
99,,,,,before the party's over,,,,,,,,,,,,,,,,,,,1
100,,,,,pedestal,,,,,,,,,,,,,,,,,,,1
101,,,,,sand,,,,,,,,,,,,,,,,,,,1
102,,,,,doomsday blue,,,,,,,,,,,,,,,,,,,1
103,,,,,la noia,,,,,,,,,,,,,,,,,,,1
104,,,,,luktelk,,,,,,,,,,,,,,,,,,,1
105,,,,,11:11,,,,,,,,,,,,,,,,,,,1
106,,,,,the code,,,,,,,,,,,,,,,,,,,1
107,,,,,dizzy,,,,,,,,,,,,,,,,,,,1
108,,,,,wasted love,,,,,,,,,,,,,,,,,,,1
109,,,,,strobe lights,,,,,,,,,,,,,,,,,,,1
110,,,,,poison cake,,,,,,,,,,,,,,,,,,,1
111,,,,,kiss kiss goodbye,,,,,,,,,,,,,,,,,,,1
112,,,,,ich komme,,,,,,,,,,,,,,,,,,,1
113,,,,,serving,,,,,,,,,,,,,,,,,,,1
